@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-psys/' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'power/energy-ram/' real
@attribute 'power/energy-gpu/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
25687460,163152,3597587,77000,3369004,69442,94248,991594,188880236,5707,25247976,1050,1812,123571871,132,1.46,0.57,0.54,0.03,0.0,51206434,49945000,998000,65491974,1
744743383,886003,345827881,2200349,345992873,2202194,275485,10875157,3148813208,78443,744458413,12228,22610,5748724006,133,23.64,8.93,8.63,0.44,0.0,854718757,854131000,0,868941062,1
34870386,142828,14681850,199308,14668361,169887,101723,963442,149031922,4014,34589376,466,1059,155171771,134,1.13,0.43,0.41,0.02,0.0,40928089,38698000,1984000,54998173,1
32466407,106506,6850982,76922,6867084,76642,108796,1094698,198625445,5871,32405803,760,1593,175503709,128,1.5,0.56,0.55,0.03,0.0,54078872,52816000,996000,68295907,1
30733494,133959,4783594,203159,4694642,203195,94810,1345131,279426290,8663,30433172,1484,2396,76467445,128,2.11,0.81,0.78,0.04,0.0,76529875,75274000,1003000,90590304,1
27380356,126849,5488230,133475,5461655,128629,98760,810947,109658008,3830,28036231,386,794,130363367,133,0.86,0.33,0.31,0.02,0.0,29904858,28712000,990000,44029765,1
722501064,475307,314688165,762359,315000561,751665,257652,5584043,1503654941,38646,724590732,5782,10686,2796465609,133,11.65,4.77,4.63,0.21,0.0,404453315,401863000,1994000,418744081,1
31010567,119627,7054103,63315,6824732,58510,86617,798838,129689302,5134,30528508,1031,1747,183586807,127,1.01,0.39,0.37,0.02,0.0,35442717,34223000,1006000,49423363,1
206781628,248862,61459809,166365,60622414,160714,111506,2827081,752283964,20676,204931063,3652,5998,1043335447,136,5.72,2.13,2.06,0.1,0.0,203675373,202426000,1002000,217736138,1
24483007,156029,4544655,122340,4371165,117940,78558,626094,79863349,2823,25442070,732,1060,117395598,127,0.64,0.24,0.23,0.01,0.0,21516783,20266000,1013000,35561301,1
49685782,175963,6792483,81136,6740575,81870,100873,1378335,283240367,8031,49956635,1608,2342,335291287,134,2.24,0.83,0.8,0.04,0.0,76801183,76512000,0,90934670,1
37592533,150364,10512842,643639,10503876,647658,97939,981415,154722740,4158,37999447,589,1037,147312374,133,1.26,0.47,0.46,0.02,0.0,41697845,39476000,1973000,55852195,1
46260466,230545,5456917,113781,5418511,114646,131331,1956801,439764799,11925,46226627,2148,3774,510806386,136,3.27,1.23,1.18,0.06,0.0,118945846,117756000,997000,132825426,1
